ad_id,type,area,bedrooms,bathrooms,level,furnished,rent,city,region,price
Ad id 194359373,apartment,110.0,2,1,10,no,no,cairo,nasr city,230000.0
Ad id 194303749,apartment,215.0,3,3,1,no,yes,cairo,new cairo - el tagamoa,23000.0
Ad id 194161292,apartment,160.0,3,2,2,no,yes,cairo,new cairo - el tagamoa,11500.0
Ad id 194298774,apartment,81.0,2,1,7,,no,cairo,new capital city,648000.0
Ad id 194308133,apartment,90.0,2,1,1,no,no,cairo,rehab city,1850000.0
Ad id 194220240,apartment,200.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,5500.0
Ad id 194260671,apartment,89.0,2,2,5,no,yes,cairo,rehab city,7500.0
Ad id 194149465,apartment,155.0,3,3,1,no,yes,cairo,rehab city,11000.0
Ad id 192269805,duplex,560.0,5,3,ground,,no,cairo,new cairo - el tagamoa,6500000.0
Ad id 194331824,apartment,212.0,3,3,2,no,no,cairo,new cairo - el tagamoa,3700000.0
Ad id 194132529,apartment,109.0,3,2,2,no,yes,giza,sheikh zayed,12000.0
Ad id 194283853,apartment,130.0,3,2,4,yes,yes,giza,sheikh zayed,15000.0
Ad id 194231147,apartment,135.0,3,2,5,no,yes,cairo,madinaty,7000.0
Ad id 193985110,apartment,155.0,3,2,2,no,no,cairo,new cairo - el tagamoa,3560000.0
Ad id 194277340,apartment,130.0,3,2,2,no,no,giza,sheikh zayed,2990000.0
Ad id 194250423,apartment,170.0,3,3,1,no,yes,cairo,new cairo - el tagamoa,19000.0
Ad id 194290143,penthouse,200.0,3,2,3,no,no,cairo,new cairo - el tagamoa,2200000.0
Ad id 194270176,apartment,163.0,3,2,4,no,no,cairo,new cairo - el tagamoa,1960200.0
Ad id 194321429,apartment,140.0,2,2,2,,no,cairo,new cairo - el tagamoa,3400000.0
Ad id 194362427,apartment,130.0,2,1,9,no,yes,cairo,heliopolis,5000.0
Ad id 194198698,apartment,145.0,3,2,5,no,yes,cairo,madinaty,9500.0
Ad id 194315177,apartment,180.0,3,3,5,no,no,cairo,maadi,1450000.0
Ad id 194271757,apartment,167.0,3,2,1,no,no,giza,sheikh zayed,360000.0
Ad id 194299356,apartment,100.0,2,1,3,,yes,giza,faisal,2000.0
Ad id 194113835,duplex,1.0,7,8,10+,,no,cairo,nasr city,13500000.0
Ad id 194302807,apartment,300.0,5,3,2,no,yes,cairo,new cairo - el tagamoa,35000.0
Ad id 194166655,apartment,175.0,2,2,1,,yes,cairo,nasr city,6000.0
Ad id 194305963,penthouse,342.0,4,3,5,no,no,cairo,new cairo - el tagamoa,3300000.0
Ad id 194260397,room,80.0,2,1,3,yes,yes,giza,6th of october,700.0
Ad id 194246189,apartment,164.0,3,2,1,,no,cairo,new cairo - el tagamoa,4725000.0
Ad id 194213487,apartment,140.0,3,1,4,yes,yes,cairo,nasr city,599.0
Ad id 194300973,duplex,200.0,3,3,5,yes,yes,cairo,new cairo - el tagamoa,30000.0
Ad id 194360766,apartment,115.0,3,1,4,no,no,cairo,new cairo - el tagamoa,250000.0
Ad id 192607883,studio,88.0,1,1,1,no,no,cairo,new cairo - el tagamoa,2250000.0
Ad id 194299101,apartment,176.0,3,2,2,,no,giza,hadayek al-ahram,1180000.0
Ad id 194216344,apartment,205.0,3,3,2,no,yes,giza,sheikh zayed,25000.0
Ad id 194251270,apartment,150.0,3,2,2,no,no,cairo,badr city,500000.0
Ad id 194169106,apartment,150.0,3,3,1,no,yes,giza,sheikh zayed,12500.0
Ad id 193873675,apartment,190.0,4,2,9,no,yes,alexandria,roushdy,12000.0
Ad id 194264263,apartment,80.0,2,1,2,no,yes,cairo,heliopolis,8500.0
Ad id 194253229,apartment,84.0,2,1,2,no,no,giza,hadayek 6th of october,1683333.0
Ad id 194167597,apartment,116.0,3,2,5,yes,yes,cairo,madinaty,17000.0
Ad id 194319658,apartment,108.0,3,2,ground,yes,yes,cairo,rehab city,10000.0
Ad id 194044421,apartment,170.0,3,3,ground,no,no,giza,sheikh zayed,3800000.0
Ad id 193567230,apartment,90.0,2,1,4,no,no,matruh,nagela,530000.0
Ad id 194351203,apartment,143.0,3,1,3,no,no,cairo,madinaty,2150000.0
Ad id 194187237,apartment,300.0,4,3,2,no,yes,cairo,madinaty,15000.0
Ad id 194315087,apartment,85.0,2,1,6,no,no,alexandria,miami,850000.0
Ad id 194337462,apartment,115.0,3,1,4,no,no,cairo,new cairo - el tagamoa,250000.0
Ad id 194313677,apartment,80.0,2,1,2,yes,yes,giza,6th of october,5500.0
Ad id 194155350,apartment,130.0,3,1,8,yes,no,alexandria,nakheel,600000.0
Ad id 194283764,apartment,116.0,2,1,2,yes,yes,giza,sheikh zayed,16000.0
Ad id 194146284,apartment,205.0,2,2,2,no,no,cairo,new cairo - el tagamoa,3456923.0
Ad id 193922054,apartment,180.0,3,2,7,no,yes,alexandria,smoha,9000.0
Ad id 194168217,apartment,72.0,2,1,3,no,yes,cairo,madinaty,4500.0
Ad id 194307041,apartment,130.0,2,2,3,yes,yes,cairo,zahraa al maadi,8500.0
Ad id 194325164,apartment,184.0,3,3,3,,no,cairo,new cairo - el tagamoa,460000.0
Ad id 194300517,apartment,300.0,4,3,10,no,yes,cairo,nasr city,35000.0
Ad id 194310858,studio,90.0,1,1,3,yes,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 194264779,apartment,227.0,4,3,10+,,no,alexandria,glim,3500000.0
Ad id 194213493,apartment,137.0,2,2,2,,yes,giza,sheikh zayed,15000.0
Ad id 194336642,apartment,250.0,4,3,2,yes,no,cairo,new cairo - el tagamoa,4500000.0
Ad id 190595554,duplex,245.0,3,4,ground,no,yes,cairo,new cairo - el tagamoa,35000.0
Ad id 194353370,apartment,108.0,3,2,ground,yes,yes,cairo,rehab city,10000.0
Ad id 193221821,apartment,220.0,2,3,5,yes,yes,giza,mohandessin,1500.0
Ad id 194271845,apartment,130.0,3,2,1,no,no,cairo,new cairo - el tagamoa,1450000.0
Ad id 194362498,apartment,116.0,3,2,5,,yes,cairo,madinaty,6500.0
Ad id 194381346,apartment,152.0,3,3,5,no,no,cairo,new cairo - el tagamoa,1818000.0
Ad id 194089264,apartment,90.0,2,1,2,yes,yes,alexandria,mandara,350.0
Ad id 193651762,apartment,140.0,3,2,9,no,no,giza,maryotaya,550000.0
Ad id 194107433,apartment,200.0,3,2,5,,yes,cairo,nasr city,6500.0
Ad id 194201863,duplex,288.0,3,2,ground,no,no,cairo,new cairo - el tagamoa,3600000.0
Ad id 194186469,apartment,80.0,2,1,1,yes,yes,giza,dokki,6500.0
Ad id 194288860,apartment,155.0,2,2,2,,no,cairo,new cairo - el tagamoa,300000.0
Ad id 194184378,apartment,57.0,1,1,5,no,no,cairo,new capital city,2650000.0
Ad id 194234965,apartment,160.0,3,2,highest,no,yes,alexandria,cleopatra,6000.0
Ad id 194284653,apartment,240.0,3,2,2,no,no,giza,6th of october,400000.0
Ad id 193121055,apartment,140.0,1,2,10,,yes,dakahlia,mansura,250.0
Ad id 194014229,apartment,200.0,3,3,2,yes,yes,cairo,new cairo - el tagamoa,30000.0
Ad id 182476483,apartment,136.0,3,2,ground,no,no,cairo,new cairo - el tagamoa,288000.0
Ad id 194285945,apartment,210.0,3,2,ground,no,no,cairo,new cairo - el tagamoa,817000.0
Ad id 194305589,apartment,99.0,2,1,1,,no,cairo,rehab city,2100000.0
Ad id 174566410,apartment,176.0,3,3,1,no,no,cairo,new capital city,2596000.0
Ad id 194242122,apartment,80.0,2,1,2,no,yes,port said,zohour district,2700.0
Ad id 194343750,apartment,185.0,3,3,2,no,no,cairo,new cairo - el tagamoa,5285000.0
Ad id 194358491,apartment,80.0,1,1,highest,no,no,alexandria,sidi beshr,500000.0
Ad id 194366001,apartment,70.0,2,1,5,no,yes,giza,sheikh zayed,2700.0
Ad id 194352735,apartment,82.0,2,1,4,no,no,cairo,madinaty,1800000.0
Ad id 193625482,apartment,240.0,3,3,3,no,no,alexandria,saba pasha,3600000.0
Ad id 194145860,apartment,320.0,4,4,3,yes,yes,cairo,madinaty,25000.0
Ad id 194320528,apartment,130.0,3,2,highest,no,no,cairo,new cairo - el tagamoa,850000.0
Ad id 194287186,apartment,113.0,2,2,ground,,no,cairo,new cairo - el tagamoa,155000.0
Ad id 194353252,apartment,135.0,3,2,2,no,no,cairo,madinaty,2800000.0
Ad id 194150494,studio,56.0,1,1,ground,yes,yes,cairo,madinaty,8500.0
Ad id 194271471,penthouse,161.0,3,3,3,no,no,cairo,new cairo - el tagamoa,4982000.0
Ad id 194234134,apartment,183.0,3,3,1,no,yes,cairo,madinaty,8500.0
Ad id 194365960,apartment,90.0,1,1,ground,no,no,cairo,new cairo - el tagamoa,800000.0
Ad id 194321093,apartment,224.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,247312.0
Ad id 194248258,apartment,155.0,3,2,1,no,no,cairo,new cairo - el tagamoa,1100000.0
Ad id 194288430,apartment,294.0,4,4,2,no,yes,giza,6th of october,30000.0
Ad id 193903892,apartment,105.0,2,2,6,no,yes,alexandria,al ibrahimiyyah,3000.0
Ad id 194026604,duplex,450.0,3,3,1,yes,yes,cairo,new cairo - el tagamoa,35000.0
Ad id 193835876,apartment,220.0,3,2,1,,no,cairo,shorouk city,1400000.0
Ad id 194361487,apartment,105.0,2,2,1,,no,giza,sheikh zayed,2415000.0
Ad id 194313284,apartment,162.0,3,3,1,no,yes,cairo,rehab city,8000.0
Ad id 194151297,apartment,200.0,3,2,2,yes,yes,cairo,heliopolis,18000.0
Ad id 194218125,apartment,100.0,2,1,3,no,yes,cairo,helmeyat el zaytoun,2500.0
Ad id 194394906,apartment,120.0,3,1,5,no,no,alexandria,nakheel,300000.0
Ad id 194275811,apartment,169.0,3,3,2,,no,cairo,new capital city,3000000.0
Ad id 193952376,duplex,450.0,4,4,ground,no,no,giza,hadayek al-ahram,2500000.0
Ad id 185841739,apartment,175.0,3,2,2,no,no,cairo,new cairo - el tagamoa,500000.0
Ad id 194320444,apartment,205.0,3,3,ground,no,yes,giza,6th of october,23000.0
Ad id 185356285,studio,83.0,1,1,2,,no,cairo,new cairo - el tagamoa,207000.0
Ad id 194131645,apartment,199.0,3,3,ground,no,no,cairo,new cairo - el tagamoa,5219000.0
Ad id 194338533,apartment,116.0,3,2,5,,no,cairo,madinaty,1700000.0
Ad id 194197299,duplex,300.0,4,2,ground,no,yes,cairo,new cairo - el tagamoa,32000.0
Ad id 192308100,apartment,206.0,3,2,5,no,yes,alexandria,roushdy,14000.0
Ad id 194064722,apartment,162.0,3,2,2,,no,cairo,new cairo - el tagamoa,3800000.0
Ad id 194287105,apartment,130.0,3,1,ground,no,no,cairo,new cairo - el tagamoa,850000.0
Ad id 194200739,apartment,250.0,3,3,3,,yes,giza,hadayek al-ahram,7500.0
Ad id 194327009,apartment,90.0,3,1,1,,no,cairo,hadayek helwan,400000.0
Ad id 184386210,apartment,230.0,4,2,4,no,no,giza,haram,1250000.0
Ad id 194317323,apartment,170.0,3,3,2,,no,cairo,new cairo - el tagamoa,400000.0
Ad id 194299139,apartment,156.0,2,2,2,no,no,cairo,new cairo - el tagamoa,5200000.0
Ad id 194270988,apartment,119.0,3,2,4,yes,yes,cairo,rehab city,10000.0
Ad id 194200303,apartment,210.0,3,3,2,,yes,cairo,new cairo - el tagamoa,9000.0
Ad id 194111896,apartment,135.0,3,2,4,yes,yes,cairo,madinaty,15000.0
Ad id 194319693,apartment,220.0,3,2,3,,no,giza,sheikh zayed,2600000.0
Ad id 194300501,apartment,96.0,2,2,1,no,yes,cairo,madinaty,5000.0
Ad id 194267297,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,11000.0
Ad id 194300588,apartment,116.0,3,2,3,no,no,cairo,madinaty,2250000.0
Ad id 194303950,apartment,125.0,2,3,2,no,yes,giza,sheikh zayed,18000.0
Ad id 194116868,apartment,140.0,3,2,5,no,yes,cairo,madinaty,7000.0
Ad id 194242399,apartment,135.0,3,2,3,yes,yes,cairo,rehab city,15000.0
Ad id 194272914,apartment,172.0,3,3,ground,,no,cairo,new cairo - el tagamoa,670000.0
Ad id 193532988,apartment,185.0,3,3,4,no,yes,cairo,maadi,17000.0
Ad id 194314296,apartment,187.0,3,3,1,no,no,cairo,new cairo - el tagamoa,1650000.0
Ad id 194213386,apartment,200.0,3,3,1,no,no,cairo,obour city,1250000.0
Ad id 193952673,apartment,205.0,3,3,2,no,no,giza,6th of october,1530000.0
Ad id 194208840,duplex,255.0,4,4,ground,no,no,giza,6th of october,2400000.0
Ad id 194323195,apartment,166.0,3,3,2,,no,cairo,new cairo - el tagamoa,490000.0
Ad id 192598086,apartment,150.0,2,1,10+,,yes,alexandria,roushdy,8000.0
Ad id 194353338,apartment,103.0,3,2,4,no,no,cairo,madinaty,1850000.0
Ad id 194285746,apartment,90.0,2,1,1,yes,yes,cairo,rehab city,11000.0
Ad id 194266880,duplex,180.0,3,2,1,no,no,giza,sheikh zayed,972000.0
Ad id 194245274,apartment,200.0,3,3,2,,yes,cairo,new cairo - el tagamoa,8000.0
Ad id 194248837,apartment,90.0,2,1,2,yes,yes,cairo,rehab city,13000.0
Ad id 194110259,apartment,140.0,3,2,2,no,yes,cairo,new cairo - el tagamoa,15000.0
Ad id 194278483,apartment,80.0,2,1,10+,no,yes,alexandria,sidi beshr,2700.0
Ad id 193022833,apartment,200.0,3,2,7,,yes,alexandria,fleming,7000.0
Ad id 194194644,apartment,144.0,2,2,2,no,yes,cairo,new cairo - el tagamoa,17000.0
Ad id 194255701,apartment,121.0,2,1,3,yes,yes,cairo,rehab city,15000.0
Ad id 194362474,apartment,197.0,3,3,ground,no,yes,cairo,rehab city,14000.0
Ad id 194282933,apartment,195.0,3,3,1,,no,cairo,new cairo - el tagamoa,1257000.0
Ad id 194363217,apartment,90.0,2,1,4,yes,yes,cairo,madinaty,10000.0
Ad id 194147463,apartment,151.0,2,3,1,yes,yes,giza,sheikh zayed,18000.0
Ad id 194303176,apartment,180.0,3,3,2,no,no,giza,6th of october,1550000.0
Ad id 194316522,penthouse,201.0,3,2,3,,no,cairo,new cairo - el tagamoa,2292800.0
Ad id 194233213,apartment,210.0,3,2,1,no,yes,cairo,shorouk city,5500.0
Ad id 194282886,apartment,131.0,3,2,5,no,yes,cairo,madinaty,7000.0
Ad id 194234153,apartment,180.0,3,2,2,yes,yes,cairo,new cairo - el tagamoa,17000.0
Ad id 194269872,apartment,130.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,4500.0
Ad id 194235881,apartment,140.0,3,2,3,,no,giza,haram,575000.0
Ad id 194263382,apartment,140.0,2,2,2,no,yes,cairo,new cairo - el tagamoa,15000.0
Ad id 194158620,apartment,140.0,3,1,2,no,no,alexandria,nakheel,390000.0
Ad id 193749970,apartment,131.0,2,2,3,no,no,red sea,hurghada,1700000.0
Ad id 182215769,apartment,161.0,3,2,4,no,no,alexandria,smoha,3116000.0
Ad id 194303054,apartment,164.0,3,3,ground,no,no,giza,6th of october,4200000.0
Ad id 183460600,apartment,170.0,2,2,ground,,no,cairo,new cairo - el tagamoa,650000.0
Ad id 193587187,apartment,75.0,2,1,6,yes,yes,suez,attaka,3000.0
Ad id 194281886,apartment,300.0,3,3,1,no,yes,cairo,rehab city,20000.0
Ad id 194362089,apartment,90.0,2,1,ground,yes,yes,cairo,rehab city,15000.0
Ad id 194161442,apartment,131.0,3,2,1,no,yes,cairo,madinaty,6500.0
Ad id 180827583,studio,25.0,1,1,ground,yes,yes,alexandria,abu qir,1750.0
Ad id 194282627,apartment,90.0,2,1,3,no,no,cairo,rehab city,1750000.0
Ad id 193988444,apartment,200.0,3,3,10,no,yes,alexandria,smoha,8500.0
Ad id 194032049,apartment,90.0,2,1,2,,yes,cairo,rehab city,5600.0
Ad id 194322233,apartment,120.0,2,2,3,yes,yes,cairo,sheraton,800.0
Ad id 193931739,apartment,140.0,3,2,ground,no,no,cairo,madinaty,3600000.0
Ad id 194268805,apartment,135.0,3,1,7,no,no,alexandria,smoha,1300000.0
Ad id 193840084,apartment,145.0,3,1,1,yes,yes,alexandria,sidi beshr,7000.0
Ad id 194259830,apartment,162.0,3,3,3,,no,cairo,new cairo - el tagamoa,4500000.0
Ad id 194305302,studio,88.0,1,1,2,yes,yes,cairo,new cairo - el tagamoa,12000.0
Ad id 194289345,apartment,135.0,2,1,5,yes,yes,giza,faisal,5000.0
Ad id 194109316,apartment,130.0,3,2,5,no,yes,giza,6th of october,5500.0
Ad id 194274727,apartment,186.0,3,3,4,,no,cairo,new cairo - el tagamoa,8191000.0
Ad id 194298525,apartment,175.0,3,3,1,no,no,giza,6th of october,1300000.0
Ad id 194317770,apartment,120.0,2,2,7,yes,yes,cairo,sheraton,900.0
Ad id 194082337,apartment,131.0,3,2,1,,yes,cairo,rehab city,24000.0
Ad id 194181009,apartment,200.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,9000.0
Ad id 194308615,apartment,211.0,3,3,ground,,no,giza,hadayek al-ahram,900000.0
Ad id 194321822,apartment,165.0,3,2,3,no,no,cairo,new cairo - el tagamoa,3400000.0
Ad id 194286330,penthouse,177.0,2,2,3,,no,cairo,new cairo - el tagamoa,3700000.0
Ad id 194230625,apartment,120.0,2,2,4,no,yes,cairo,rehab city,7000.0
Ad id 194228116,duplex,360.0,4,2,1,,yes,cairo,new cairo - el tagamoa,14000.0
Ad id 194181889,apartment,155.0,3,3,3,no,no,cairo,new cairo - el tagamoa,3753000.0
Ad id 194203461,apartment,162.0,3,2,1,no,no,cairo,new cairo - el tagamoa,4400000.0
Ad id 194144004,apartment,100.0,2,1,8,no,no,alexandria,sidi beshr,1750000.0
Ad id 194322927,apartment,172.0,3,2,3,no,no,cairo,obour city,2850000.0
Ad id 193775810,apartment,115.0,2,2,2,no,no,giza,sheikh zayed,3400000.0
Ad id 191916071,apartment,148.0,3,2,2,no,no,cairo,new capital city,2128000.0
Ad id 194177395,apartment,200.0,4,3,ground,yes,yes,cairo,madinaty,25000.0
Ad id 194226364,apartment,200.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,7000.0
Ad id 194321431,apartment,96.0,2,2,5,no,no,cairo,madinaty,1750000.0
Ad id 194365139,apartment,180.0,3,2,3,,no,cairo,shorouk city,1300000.0
Ad id 194366380,apartment,140.0,3,1,10,no,no,alexandria,victoria,1100000.0
Ad id 194083782,apartment,96.0,2,1,4,no,yes,cairo,new heliopolis,3000.0
Ad id 194289664,apartment,120.0,2,1,7,no,yes,alexandria,smoha,7000.0
Ad id 194167447,apartment,170.0,3,3,2,no,no,giza,6th of october,6385000.0
Ad id 194319793,apartment,145.0,2,2,2,,no,giza,sheikh zayed,5000000.0
Ad id 194322042,apartment,70.0,2,1,2,no,no,cairo,madinaty,1450000.0
Ad id 194211407,apartment,200.0,3,2,4,,yes,cairo,nasr city,6500.0
Ad id 194300474,duplex,160.0,3,3,ground,no,no,giza,6th of october,1600000.0
Ad id 194217954,apartment,200.0,4,3,4,no,no,cairo,madinaty,3300000.0
Ad id 194314963,apartment,145.0,3,2,1,no,no,cairo,maadi,1880000.0
Ad id 194317905,apartment,82.0,2,1,1,no,no,cairo,madinaty,1600000.0
Ad id 194322683,duplex,335.0,4,4,4,no,no,giza,6th of october,4000000.0
Ad id 194305782,apartment,200.0,3,3,10,no,yes,cairo,heliopolis,17000.0
Ad id 194227630,apartment,70.0,2,1,1,no,no,giza,sheikh zayed,950000.0
Ad id 194232270,apartment,130.0,3,2,2,no,yes,cairo,new cairo - el tagamoa,3200.0
Ad id 194268477,apartment,96.0,2,2,5,no,yes,cairo,madinaty,5500.0
Ad id 194361228,apartment,90.0,2,1,1,,no,cairo,rehab city,1850000.0
Ad id 194302047,apartment,150.0,3,2,5,no,no,monufia,shebin al-koum,1200000.0
Ad id 194228450,apartment,180.0,3,3,5,no,yes,cairo,rehab city,10000.0
Ad id 194195941,apartment,90.0,2,1,1,yes,yes,cairo,rehab city,10000.0
Ad id 194247311,studio,58.0,1,1,ground,no,yes,cairo,madinaty,4200.0
Ad id 190654387,apartment,284.0,4,4,highest,no,no,cairo,new cairo - el tagamoa,7400000.0
Ad id 194381760,apartment,160.0,3,2,3,no,no,cairo,new cairo - el tagamoa,2880000.0
Ad id 194145809,apartment,280.0,3,3,4,no,no,alexandria,laurent,4250000.0
Ad id 194311685,apartment,160.0,2,2,2,yes,yes,giza,sheikh zayed,10000.0
Ad id 194306550,penthouse,270.0,3,3,4,,yes,cairo,new cairo - el tagamoa,36000.0
Ad id 194117873,apartment,90.0,2,1,ground,yes,yes,cairo,madinaty,7500.0
Ad id 194197853,penthouse,284.0,4,3,4,,no,cairo,nasr city,3883000.0
Ad id 194366739,apartment,105.0,2,2,2,no,no,cairo,mostakbal city,1845000.0
Ad id 194305430,apartment,129.0,2,2,2,no,no,cairo,new capital city,1320927.0
Ad id 194131268,apartment,116.0,3,2,2,yes,yes,cairo,madinaty,13000.0
Ad id 194021448,apartment,104.0,2,1,7,no,no,cairo,nasr city,950000.0
Ad id 194212397,apartment,105.0,2,1,4,no,yes,giza,haram,3000.0
Ad id 194144878,apartment,230.0,3,3,1,no,yes,cairo,rehab city,18500.0
Ad id 194282547,apartment,110.0,2,1,3,,yes,cairo,nasr city,5000.0
Ad id 194267303,apartment,135.0,2,1,2,no,no,alexandria,gianaclis,1500000.0
Ad id 194375693,apartment,120.0,3,1,8,yes,yes,alexandria,smoha,7500.0
Ad id 194361431,apartment,175.0,3,2,2,no,no,cairo,new cairo - el tagamoa,3563000.0
Ad id 194128217,apartment,200.0,3,3,5,no,yes,cairo,madinaty,10000.0
Ad id 194180229,apartment,160.0,3,3,4,,no,cairo,new capital city,2320000.0
Ad id 194360922,apartment,220.0,3,3,1,no,yes,cairo,new cairo - el tagamoa,16000.0
Ad id 193650155,apartment,160.0,3,3,ground,,no,cairo,mostakbal city,300000.0
Ad id 193982582,apartment,220.0,3,3,1,,yes,alexandria,kafr abdo,16000.0
Ad id 193032893,apartment,160.0,3,2,2,no,no,cairo,new cairo - el tagamoa,320000.0
Ad id 194365546,apartment,220.0,3,3,1,,yes,cairo,new cairo - el tagamoa,7000.0
Ad id 194168602,apartment,131.0,3,2,2,no,yes,cairo,rehab city,7500.0
Ad id 194286932,apartment,220.0,3,3,6,no,no,cairo,nasr city,1100000.0
Ad id 194108708,apartment,210.0,3,2,4,no,yes,alexandria,laurent,11500.0
Ad id 183244626,apartment,90.0,2,1,5,,yes,giza,faisal,850.0
Ad id 194223764,apartment,107.0,2,1,6,no,yes,cairo,madinaty,5500.0
Ad id 194196905,apartment,188.0,3,3,2,,no,cairo,new cairo - el tagamoa,3200000.0
Ad id 194215324,apartment,190.0,3,2,1,no,yes,cairo,new cairo - el tagamoa,8000.0
Ad id 194303404,apartment,147.0,2,2,1,no,no,cairo,madinaty,1690000.0
Ad id 194180650,apartment,200.0,3,3,4,yes,yes,cairo,madinaty,30000.0
Ad id 194317476,apartment,115.0,2,1,ground,,no,cairo,new capital city,1350000.0
Ad id 194303619,apartment,71.0,1,1,2,,no,giza,sheikh zayed,50000.0
Ad id 194216823,apartment,85.0,3,1,7,no,no,alexandria,maamoura,210000.0
Ad id 194292382,apartment,86.0,2,1,5,,yes,cairo,new cairo - el tagamoa,2700.0
Ad id 194304479,apartment,135.0,2,2,2,,no,cairo,new cairo - el tagamoa,520000.0
Ad id 194285043,apartment,180.0,3,3,7,no,no,cairo,new capital city,2400000.0
Ad id 192820929,apartment,200.0,4,3,10+,,no,alexandria,smoha,3000000.0
Ad id 194322217,studio,75.0,1,2,1,no,no,giza,sheikh zayed,1939800.0
Ad id 194296619,apartment,134.0,3,2,1,no,yes,giza,sheikh zayed,14000.0
Ad id 194051611,apartment,145.0,3,2,6,no,no,alexandria,sidi beshr,1850000.0
Ad id 194317724,apartment,260.0,3,3,ground,no,no,cairo,new capital city,2137000.0
Ad id 194199177,apartment,125.0,3,1,1,no,no,alexandria,sidi beshr,1150000.0
Ad id 194316830,apartment,110.0,2,2,2,no,no,giza,sheikh zayed,2500000.0
Ad id 194271940,apartment,80.0,2,1,1,,no,giza,hadayek 6th of october,570000.0
Ad id 194304313,apartment,200.0,3,3,2,no,yes,cairo,new cairo - el tagamoa,20000.0
Ad id 194304761,apartment,278.0,3,3,4,,no,cairo,new cairo - el tagamoa,7200000.0
Ad id 194266332,apartment,265.0,4,3,10+,no,yes,alexandria,smoha,14500.0
Ad id 194115342,apartment,116.0,3,2,4,no,yes,cairo,madinaty,6000.0
Ad id 194359424,apartment,123.0,3,2,ground,no,yes,cairo,madinaty,7500.0
Ad id 194268138,apartment,122.0,3,2,2,no,no,giza,6th of october,592000.0
Ad id 194183626,apartment,78.0,2,1,2,no,yes,cairo,madinaty,5000.0
Ad id 194281905,apartment,160.0,2,3,2,no,no,cairo,new cairo - el tagamoa,5092000.0
Ad id 194101955,apartment,80.0,2,1,2,no,yes,cairo,new cairo - el tagamoa,2200.0
Ad id 194315640,apartment,138.0,2,2,2,no,no,giza,6th of october,4500000.0
Ad id 194249467,apartment,223.0,3,3,2,no,yes,giza,sheikh zayed,23000.0
Ad id 193528771,apartment,138.0,3,3,2,,no,giza,hadayek 6th of october,695000.0
Ad id 194318103,apartment,179.0,3,2,1,,no,cairo,shorouk city,1430000.0
Ad id 183880381,apartment,135.0,3,1,9,no,no,dakahlia,mansura,843750.0
Ad id 194233285,apartment,90.0,2,1,9,yes,yes,alexandria,agami,3500.0
Ad id 194327104,apartment,125.0,3,1,6,yes,yes,alexandria,mandara,5000.0
Ad id 193329567,apartment,220.0,3,3,2,yes,yes,cairo,new cairo - el tagamoa,14500.0
Ad id 194164258,apartment,160.0,3,2,10,yes,yes,cairo,maadi,11000.0
